timestamp,pressure_mpl,pressure_bme,diff_pressure,v_wind_est,speed,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,power
2026-06-25 17:33:15.846,994.77,993.90,-87.49,-12.45,0.00,0.66,0.42,9.31,-0.00,0.00,0.00,0.00
2026-06-25 17:33:16.427,994.77,993.90,-86.63,-12.38,0.00,0.66,0.42,9.27,-0.00,0.00,0.00,0.00
2026-06-25 17:33:17.189,994.76,993.93,-83.21,-12.14,0.00,0.66,0.44,9.27,0.00,0.00,0.00,0.00
2026-06-25 17:33:17.570,994.74,993.90,-84.24,-12.21,0.00,0.65,0.44,9.27,0.00,-0.00,-0.00,0.00
2026-06-25 17:33:18.144,994.75,993.92,-83.61,-12.17,0.00,0.66,0.40,9.28,-0.00,0.00,-0.00,0.00
2026-06-25 17:33:18.722,994.77,993.89,-88.14,-12.49,0.00,0.65,0.43,9.29,0.00,0.00,0.00,0.00
2026-06-25 17:33:19.293,994.74,993.91,-82.67,-12.10,0.00,0.66,0.39,9.31,0.00,-0.00,0.00,0.00
2026-06-25 17:33:19.874,994.77,993.91,-86.88,-12.40,0.00,0.65,0.42,9.32,-0.00,0.00,0.00,0.00
2026-06-25 17:33:20.446,994.76,993.93,-83.07,-12.13,0.00,0.66,0.43,9.32,-0.00,-0.00,-0.00,0.00
2026-06-25 17:33:21.017,994.75,993.91,-84.16,-12.21,0.00,0.65,0.41,9.30,0.00,0.00,-0.00,0.00
2026-06-25 17:33:21.593,994.76,993.89,-87.09,-12.42,0.00,0.66,0.43,9.29,0.00,0.00,0.00,0.00
2026-06-25 17:33:22.169,994.79,993.92,-86.40,-12.37,0.00,0.66,0.43,9.29,-0.00,-0.00,0.00,0.00
2026-06-25 17:33:22.933,994.76,993.89,-87.12,-12.42,0.00,0.66,0.40,9.32,-0.00,0.00,-0.00,0.00
2026-06-25 17:33:23.321,994.76,993.94,-82.62,-12.09,0.00,0.66,0.42,9.29,-0.00,-0.00,0.00,0.00
2026-06-25 17:33:23.902,994.79,993.91,-88.03,-12.48,0.00,0.66,0.42,9.31,-0.00,0.00,0.00,0.00
2026-06-25 17:33:24.484,994.75,993.91,-84.59,-12.24,0.00,0.66,0.42,9.28,0.00,0.00,-0.00,0.00
2026-06-25 17:33:25.056,994.73,993.90,-83.02,-12.12,0.00,0.65,0.42,9.33,0.00,-0.00,0.00,0.00
2026-06-25 17:33:25.636,994.78,993.92,-86.71,-12.39,0.00,0.65,0.42,9.30,0.00,0.00,0.00,0.00
2026-06-25 17:33:26.209,994.76,993.89,-87.14,-12.42,0.00,0.65,0.40,9.30,-0.00,0.00,0.00,0.00
2026-06-25 17:33:26.781,994.75,993.90,-85.22,-12.28,0.00,0.67,0.44,9.30,-0.00,-0.00,0.00,0.00
2026-06-25 17:33:27.352,994.77,993.93,-84.16,-12.21,0.00,0.66,0.43,9.32,0.00,0.00,0.00,0.00
2026-06-25 17:33:27.930,994.76,993.90,-86.33,-12.36,0.00,0.66,0.43,9.29,0.00,-0.00,0.00,0.00
2026-06-25 17:33:28.703,994.77,993.92,-85.49,-12.30,0.00,0.66,0.44,9.27,0.00,0.00,0.00,0.00
2026-06-25 17:33:29.093,994.75,993.89,-85.74,-12.32,0.00,0.65,0.42,9.29,0.00,0.00,-0.00,0.00
2026-06-25 17:33:29.668,994.81,993.90,-91.09,-12.70,0.00,0.66,0.43,9.29,0.00,-0.00,0.00,0.00
2026-06-25 17:33:30.245,994.74,993.89,-84.86,-12.26,0.00,0.66,0.42,9.26,0.00,-0.00,-0.00,0.00
2026-06-25 17:33:30.817,994.78,993.90,-87.75,-12.46,0.00,0.66,0.44,9.32,-0.00,0.00,0.00,0.00
2026-06-25 17:33:31.388,994.77,993.89,-87.27,-12.43,0.00,0.66,0.41,9.29,0.00,-0.00,-0.00,0.00
2026-06-25 17:33:31.962,994.78,993.89,-89.22,-12.57,0.00,0.66,0.43,9.30,0.00,0.00,0.00,0.00
2026-06-25 17:33:32.540,994.77,993.90,-87.51,-12.45,0.00,0.65,0.40,9.32,-0.00,0.00,0.00,0.00
2026-06-25 17:33:33.111,994.76,993.92,-84.40,-12.22,0.00,0.65,0.41,9.29,0.00,-0.00,0.00,0.00
2026-06-25 17:33:33.683,994.77,993.92,-85.41,-12.30,0.00,0.65,0.41,9.30,-0.00,-0.00,0.00,0.00
2026-06-25 17:33:34.453,994.77,993.89,-88.42,-12.51,0.00,0.66,0.42,9.31,-0.00,0.00,-0.00,0.00
2026-06-25 17:33:34.844,994.73,993.88,-85.60,-12.31,0.00,0.65,0.43,9.31,-0.00,0.00,-0.00,0.00
2026-06-25 17:33:35.417,994.75,993.94,-81.94,-12.04,0.00,0.66,0.42,9.29,-0.00,0.00,0.00,0.00
2026-06-25 17:33:35.997,994.77,993.92,-85.59,-12.31,0.00,0.66,0.43,9.33,-0.00,-0.00,0.00,0.00
2026-06-25 17:33:36.568,994.79,993.90,-88.27,-12.50,0.00,0.67,0.44,9.31,0.00,0.00,0.00,0.00
2026-06-25 17:33:37.149,994.76,993.92,-84.30,-12.22,0.00,0.66,0.43,9.31,-0.00,0.00,0.00,0.00
2026-06-25 17:33:37.731,994.76,993.89,-87.31,-12.43,0.00,0.65,0.42,9.30,0.00,0.00,0.00,0.00
2026-06-25 17:33:38.312,994.76,993.91,-85.39,-12.30,0.00,0.65,0.44,9.29,0.00,-0.00,0.00,0.00
2026-06-25 17:33:38.883,994.75,993.87,-88.19,-12.50,0.00,0.65,0.41,9.27,-0.00,0.00,0.00,0.00
2026-06-25 17:33:39.454,994.76,993.93,-82.91,-12.12,0.00,0.66,0.41,9.29,-0.00,0.00,-0.00,0.00
2026-06-25 17:33:40.217,994.78,993.90,-87.93,-12.48,0.00,0.65,0.43,9.28,0.00,0.00,-0.00,0.00
2026-06-25 17:33:40.597,994.78,993.91,-87.08,-12.42,0.00,0.65,0.42,9.30,-0.00,0.00,0.00,0.00
2026-06-25 17:33:41.170,994.80,993.90,-89.52,-12.59,0.00,0.66,0.41,9.28,-0.00,-0.00,-0.00,0.00
2026-06-25 17:33:41.739,994.79,993.88,-91.23,-12.71,0.00,0.66,0.42,9.31,-0.00,0.00,-0.00,0.00
2026-06-25 17:33:42.319,994.77,993.90,-87.97,-12.48,0.00,0.65,0.41,9.27,0.00,0.00,0.00,0.00
2026-06-25 17:33:42.892,994.79,993.90,-89.50,-12.59,0.00,0.66,0.43,9.31,0.00,0.00,0.00,0.00
2026-06-25 17:33:43.471,994.75,993.87,-88.46,-12.51,0.00,0.66,0.41,9.32,0.00,-0.00,0.00,0.00
2026-06-25 17:33:44.049,994.77,993.89,-88.71,-12.53,0.00,0.66,0.43,9.29,0.00,-0.00,0.00,0.00
2026-06-25 17:33:44.624,994.74,993.90,-83.85,-12.18,0.00,0.66,0.43,9.33,0.00,-0.00,0.00,0.00
2026-06-25 17:33:45.196,994.79,993.89,-89.35,-12.58,0.00,0.66,0.43,9.32,-0.00,0.00,0.00,0.00
2026-06-25 17:33:45.958,994.75,993.90,-85.59,-12.31,0.00,0.66,0.43,9.33,-0.00,-0.00,-0.00,0.00
2026-06-25 17:33:46.348,994.78,993.93,-85.07,-12.27,0.00,0.66,0.45,9.28,0.00,-0.00,0.00,0.00
2026-06-25 17:33:46.920,994.77,993.90,-87.50,-12.45,0.00,0.66,0.43,9.31,0.00,-0.00,0.00,0.00
2026-06-25 17:33:47.493,994.76,993.92,-83.87,-12.19,0.00,0.65,0.42,9.31,0.00,0.00,0.00,0.00
2026-06-25 17:33:48.071,994.81,993.89,-91.57,-12.73,0.00,0.67,0.40,9.30,-0.00,0.00,0.00,0.00
2026-06-25 17:33:48.642,994.78,993.88,-89.72,-12.60,0.00,0.65,0.43,9.28,0.00,0.00,-0.00,0.00
2026-06-25 17:33:49.224,994.79,993.92,-87.11,-12.42,0.00,0.66,0.42,9.29,0.00,0.00,-0.00,0.00
2026-06-25 17:33:49.805,994.77,993.92,-85.81,-12.33,0.00,0.66,0.41,9.31,0.00,0.00,0.00,0.00
2026-06-25 17:33:50.386,994.79,993.88,-91.51,-12.73,0.00,0.66,0.42,9.32,0.00,0.00,0.00,0.00
2026-06-25 17:33:50.959,994.78,993.93,-84.70,-12.25,0.00,0.65,0.42,9.27,0.00,0.00,-0.00,0.00
2026-06-25 17:33:51.713,994.81,993.90,-90.77,-12.68,0.00,0.65,0.42,9.29,0.00,0.00,-0.00,0.00
2026-06-25 17:33:52.102,994.78,993.89,-88.93,-12.55,0.00,0.66,0.41,9.31,0.00,0.00,0.00,0.00
2026-06-25 17:33:52.682,994.78,993.89,-89.58,-12.59,0.00,0.65,0.41,9.30,0.00,0.00,0.00,0.00
2026-06-25 17:33:53.252,994.79,993.92,-86.90,-12.40,0.00,0.66,0.44,9.32,0.00,-0.00,0.00,0.00
2026-06-25 17:33:53.824,994.78,993.92,-85.59,-12.31,0.00,0.66,0.43,9.30,0.00,0.00,-0.00,0.00
2026-06-25 17:33:54.395,994.76,993.92,-84.86,-12.26,0.00,0.66,0.43,9.31,0.00,0.00,0.00,0.00
2026-06-25 17:33:54.965,994.78,993.89,-89.36,-12.58,0.00,0.65,0.44,9.31,0.00,-0.00,0.00,0.00
2026-06-25 17:33:55.537,994.80,993.92,-88.33,-12.51,0.00,0.65,0.43,9.31,-0.00,0.00,0.00,0.00
2026-06-25 17:33:56.108,994.78,993.93,-84.77,-12.25,0.00,0.66,0.44,9.28,0.00,-0.00,-0.00,0.00
2026-06-25 17:33:56.681,994.76,993.88,-87.57,-12.45,0.00,0.66,0.44,9.32,0.00,0.00,0.00,0.00
2026-06-25 17:33:57.441,994.79,993.92,-87.43,-12.44,0.00,0.66,0.41,9.31,0.00,0.00,0.00,0.00
2026-06-25 17:33:57.826,994.74,993.91,-82.54,-12.09,0.00,0.65,0.41,9.31,0.00,-0.00,-0.00,0.00
2026-06-25 17:33:58.402,994.78,993.91,-86.91,-12.40,0.00,0.66,0.43,9.31,-0.00,-0.00,0.00,0.00
2026-06-25 17:33:58.976,994.79,993.88,-90.73,-12.67,0.00,0.66,0.43,9.30,0.00,-0.00,0.00,0.00
2026-06-25 17:33:59.555,994.80,993.92,-87.94,-12.48,0.00,0.66,0.44,9.33,0.00,0.00,-0.00,0.00
2026-06-25 17:34:00.127,994.78,993.92,-85.91,-12.33,0.00,0.65,0.42,9.31,0.00,-0.00,0.00,0.00
2026-06-25 17:34:00.707,994.79,993.87,-91.94,-12.76,0.00,0.65,0.43,9.30,0.00,0.00,0.00,0.00
2026-06-25 17:34:01.280,994.78,993.95,-83.59,-12.17,0.00,0.66,0.43,9.30,0.00,0.00,-0.00,0.00
2026-06-25 17:34:01.852,994.77,993.90,-87.60,-12.45,0.00,0.66,0.42,9.31,-0.00,0.00,0.00,0.00
2026-06-25 17:34:02.426,994.79,993.92,-87.58,-12.45,0.00,0.65,0.42,9.27,0.00,0.00,0.00,0.00
2026-06-25 17:34:03.195,994.74,993.86,-87.56,-12.45,0.00,0.66,0.45,9.31,0.00,0.00,0.00,0.00
2026-06-25 17:34:03.577,994.77,993.92,-85.36,-12.29,0.00,0.66,0.41,9.30,0.00,0.00,0.00,0.00
2026-06-25 17:34:04.144,994.77,993.91,-86.61,-12.38,0.00,0.65,0.42,9.28,-0.00,0.00,-0.00,0.00
2026-06-25 17:34:04.715,994.78,993.91,-87.17,-12.42,0.00,0.66,0.43,9.34,0.00,0.00,-0.00,0.00
2026-06-25 17:34:05.287,994.76,993.92,-84.24,-12.21,0.00,0.66,0.42,9.32,-0.00,-0.00,0.00,0.00
2026-06-25 17:34:05.858,994.79,993.90,-89.32,-12.58,0.00,0.66,0.43,9.31,0.00,0.00,0.00,0.00
2026-06-25 17:34:06.438,994.78,993.90,-88.61,-12.53,0.00,0.66,0.43,9.31,0.00,0.00,0.00,0.00
2026-06-25 17:34:07.012,994.74,993.89,-85.43,-12.30,0.00,0.67,0.43,9.32,0.00,0.00,0.00,0.00
2026-06-25 17:34:07.590,994.76,993.89,-86.39,-12.37,0.00,0.65,0.42,9.32,0.00,-0.00,0.00,0.00
2026-06-25 17:34:08.162,994.74,993.92,-82.61,-12.09,0.00,0.67,0.44,9.31,-0.00,-0.00,0.00,0.00
2026-06-25 17:34:08.932,994.77,993.91,-85.60,-12.31,0.00,0.66,0.44,9.27,-0.00,0.00,0.00,0.00
2026-06-25 17:34:09.314,994.77,993.91,-86.25,-12.36,0.00,0.66,0.42,9.28,0.00,-0.00,0.00,0.00
2026-06-25 17:34:09.887,994.80,993.88,-91.71,-12.74,0.00,0.66,0.44,9.30,0.00,0.00,0.00,0.00
2026-06-25 17:34:10.464,994.78,993.90,-87.88,-12.47,0.00,0.66,0.42,9.31,0.00,0.00,0.00,0.00
2026-06-25 17:34:11.037,994.77,993.87,-89.57,-12.59,0.00,0.66,0.45,9.27,0.00,0.00,-0.00,0.00
2026-06-25 17:34:11.612,994.78,993.93,-85.24,-12.29,0.00,0.66,0.43,9.30,-0.00,-0.00,-0.00,0.00
2026-06-25 17:34:12.187,994.80,993.90,-90.22,-12.64,0.00,0.65,0.45,9.30,0.00,0.00,-0.00,0.00
2026-06-25 17:34:12.761,994.75,993.91,-83.85,-12.18,0.00,0.65,0.44,9.32,0.00,-0.00,-0.00,0.00
2026-06-25 17:34:13.342,994.79,993.90,-89.08,-12.56,0.00,0.66,0.43,9.28,0.00,0.00,0.00,0.00
2026-06-25 17:34:13.913,994.78,993.91,-86.87,-12.40,0.00,0.65,0.42,9.29,0.00,0.00,0.00,0.00
2026-06-25 17:34:14.685,994.73,993.89,-83.75,-12.18,0.00,0.66,0.42,9.31,0.00,0.00,-0.00,0.00
2026-06-25 17:34:15.066,994.75,993.91,-83.80,-12.18,0.00,0.66,0.42,9.32,0.00,0.00,-0.00,0.00
2026-06-25 17:34:15.638,994.78,993.90,-87.98,-12.48,0.00,0.65,0.44,9.34,-0.00,-0.00,0.00,0.00
2026-06-25 17:34:16.208,994.78,993.91,-87.83,-12.47,0.00,0.67,0.42,9.29,0.00,0.00,0.00,0.00
2026-06-25 17:34:16.780,994.77,993.92,-85.40,-12.30,0.00,0.66,0.42,9.30,0.00,0.00,0.00,0.00
2026-06-25 17:34:17.360,994.77,993.92,-85.33,-12.29,0.00,0.66,0.43,9.30,0.00,-0.00,-0.00,0.00
2026-06-25 17:34:17.931,994.75,993.87,-88.67,-12.53,0.00,0.66,0.42,9.33,0.00,0.00,-0.00,0.00
